"Average time all patients waited for first assessment by a doctor in emergency, by hospital,  201807 to 201907"
Average Time

Hospital Name: Quinte Healthcare Corporation - Belleville
"Month",Ontario (Hours),Quinte Healthcare Corporation - Belleville (Hours)
"201807","1.5","2.1"
"201808","1.5","2.4"
"201809","1.5","2.1"
"201810","1.5","2.1"
"201811","1.5","2"
"201812","1.6","2.1"
"201901","1.6","2.6"
"201902","1.6","2.5"
"201903","1.6","2.3"
"201904","1.6","2.7"
"201905","1.6","2.6"
"201906","1.6","2.4"
"201907","1.6","2.3"

TECHNICAL INFORMATION
"Data source: National Ambulatory Care Reporting System (NACRS), Canadian Institute for Health Information (CIHI) provided by Cancer Care Ontario (CCO). For more information, please visit the Indicator Library for the technical description of Wait Time to First Assessment in Emergency indicator (average time and volume) and Length of Stay in Emergency indicators (average time, volume, and percentage within target). " 

http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Average-time-PIA/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Volume-PIA/EN 
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Average-time-ED/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Volume-ED/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Percentage-within-target-ED/EN
